date,cpi_yoy_northeast,cpi_index_northeast,cpi_yoy_midwest,cpi_index_midwest,cpi_yoy_south,cpi_index_south,cpi_yoy_west,cpi_index_west,hpi_yoy_northeast,hpi_index_northeast,hpi_yoy_midwest,hpi_index_midwest,hpi_yoy_south,hpi_index_south,hpi_yoy_west,hpi_index_west,hpi_yoy_national,hpi_index_national,real_wage_northeast,real_wage_midwest,real_wage_south,real_wage_west,real_wage_yoy_northeast,real_wage_yoy_midwest,real_wage_yoy_south,real_wage_yoy_west,nominal_wage,debt_delinquency_rate,debt_4q_avg,debt_yoy_chg,sentiment,sentiment_12m_avg,sentiment_yoy_chg
2021-01-01,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,29.93,29.93,29.93,29.93,,,,,29.93,1.88,,,79.0,,
2021-02-01,,100.34387402748126,,100.8417244845828,,100.5558220901251,,100.53226460755104,,101.25009017413147,,100.4540913898633,,101.47133427478923,,100.96989570990009,,101.13009439710214,29.94701997629689,29.799173064116133,29.883898689692085,29.890901311441187,,,,,30.05,1.88,,,76.8,,
2021-03-01,,100.77514937028069,,101.61134824239029,,101.30081871618748,,101.17503881824668,,102.01012779754606,,101.318211516143,,103.26848365581347,,102.21765457192626,,102.4191865657316,29.799013137316233,29.553785595251128,29.64438035208231,29.68123397901199,,,,,30.03,1.88,,,84.9,,
2021-04-01,,101.47221068015415,,102.42134840719193,,101.99393861383821,,102.13360471134611,,103.0003606303832,,102.21639935309457,,105.25533907294951,,103.3697879016291,,103.91401600827956,29.781552798977703,29.505567413402634,29.6292117068022,29.58869422596893,,,,,30.22,1.59,1.8074999999999999,,88.3,,
2021-05-01,,102.00055879529467,,103.26636892499876,,102.8321573308058,,102.75084980485964,,104.18352179996855,,103.15135794120134,,107.41615304862906,,105.17954526884903,,105.68636124627544,29.81356216001714,29.44811589345845,29.57246136748117,29.595862280218093,,,,,30.41,1.59,1.7349999999999999,-0.2899999999999998,82.9,,
2021-06-01,,103.0350464946341,,104.19914632739497,,103.59899678988364,,103.54994614405418,,105.07996668304412,,104.10106068664915,,110.2189583903934,,107.13989968216976,,107.70200228689708,29.64040007648317,29.30926123333386,29.47904993900694,29.493013890624415,,,,,30.54,1.59,1.6625,-0.2899999999999998,85.5,,
2021-07-01,,103.09522444944335,,104.7804841872806,,103.93366019572738,,104.17313637444569,,106.19312724213485,,105.01556079823344,,113.0340473784895,,109.17350009594699,,109.5665745787185,29.739495853210247,29.26117419461385,29.49958650764462,29.431772016342098,,,,,30.66,1.53,1.5750000000000002,-0.34999999999999987,81.2,,
2021-08-01,,103.19981946613557,,104.87771716738905,,104.30108785109428,,104.4154881307091,,107.19049136302925,,106.0893111047295,,115.55964537459835,,110.82849575994234,,111.26922788011318,29.825633571093874,29.348464889709494,29.51071808948258,29.478385391896143,,,,,30.78,1.53,1.56,-0.06000000000000005,70.3,,
2021-09-01,,103.58023010903669,,105.20896850640253,,104.66305479820733,,104.5931428091821,,108.12871252233296,,107.13219816179911,,117.68402758014425,,112.64706775718697,,112.75988415280477,29.90918244474647,29.446158858704806,29.59974755154063,29.619532569663164,,,,,30.98,1.53,1.5450000000000002,-0.06000000000000005,72.8,,
2021-10-01,,104.06308655595834,,106.01114059229717,,105.6483225874396,,105.49820247037924,,109.10228861039866,,108.21797034714066,,119.72775251101133,,114.54437450523226,,114.18752556066536,29.92415565461336,29.374271256791523,29.475148528010987,29.51709059568402,,,,,31.14,1.57,1.54,-0.020000000000000018,71.7,,
